pl_name,hostname,hip,hd,snum,sy_dist,ra,dec,st_spectype,st_teff,st_rad,st_mass,st_lum,pl_orbsmax,pl_orbper,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,method,year
Kepler-6 b,Kepler-6,,,1,587.039,296.83725,48.23997,,5647,1.391,1.209,,0.04852,3.2347,,14.617,212.31,1460,Transit,2009
Kepler-491 b,Kepler-491,,,1,630.785,287.13058,42.35015,,5582,1.03,1.04,,,4.22538,,8.92,,,Transit,2016
Kepler-257 b,Kepler-257,,,1,780.256,297.316,46.02326,,5180,1.037,,,0.034,2.38267,,2.61,,,Transit,2014
Kepler-216 b,Kepler-216,,,1,1187.47,293.72807,46.12911,,6091,1.26,,,0.079,7.69364,,2.35,,,Transit,2014
Kepler-32 c,Kepler-32,,,1,323.847,297.84231,46.57436,,3900,0.53,0.58,,0.09,8.7522,,2,158.9,,Transit,2011
Kepler-259 c,Kepler-259,,,1,1002.14,288.21197,46.61505,,5938,0.898,,,0.217,36.92493,,2.7,,,Transit,2014
Kepler-148 c,Kepler-148,,,1,791.163,289.78616,46.85882,,5272,0.851,,,0.05,4.18004,,3.6,,,Transit,2014
Kepler-222 d,Kepler-222,,,1,758.854,287.90609,46.93775,,5433,0.869,,,0.18,28.08191,,3.69,,,Transit,2014
Kepler-29 c,Kepler-29,,,1,832.532,298.34838,47.4913,,5378,0.732,0.761,,,13.28613,0,2.34,4.5,,Transit,2011
Kepler-179 b,Kepler-179,,,1,605.68,298.66362,47.76193,,5302,0.759,,,0.036,2.73593,,1.64,,,Transit,2014
Kepler-165 c,Kepler-165,,,1,560.885,280.69092,47.80967,,5211,0.77,,,0.11,15.31299,,2.23,,,Transit,2014
Kepler-228 c,Kepler-228,,,1,1644.61,296.28609,48.22463,,6043,1.014,,,0.052,4.13444,,2.7,,,Transit,2014
Kepler-20 c,Kepler-20,,,2,282.563,287.69799,42.33858,,5495,0.916,0.929,,0.0936,10.85408,0.076,2.894,11.1,828,Transit,2011
Kepler-166 d,Kepler-166,,,1,603.53,293.1601,48.88121,,5350,0.83,0.88,,,1.554,,1.73,,,Transit,2016
Kepler-52 b,Kepler-52,,,1,321.542,286.73802,49.97574,,4075,0.52,0.54,,,7.87736,,2.1,135,,Transit,2012
Kepler-197 d,Kepler-197,,,2,330.575,295.22647,50.55923,,6004,1.12,,,0.119,15.67756,,1.22,,,Transit,2014
K2-183 d,K2-183,,,1,329.041,125.00718,14.01946,,5482,0.87,,,,22.62034,,2.3,,,Transit,2018
K2-187 e,K2-187,,,1,330.916,132.52356,23.19247,,5438,0.83,,,,13.60663,,1.9,,,Transit,2018
K2-187 c,K2-187,,,1,330.916,132.52356,23.19247,,5438,0.83,,,,2.87151,,1.4,,,Transit,2018
K2-270 b,K2-270,,,1,280.518,131.26656,13.54973,,4877,0.77,0.85,,0.0247,1.54307,,1.38,,1203,Transit,2018
Kepler-184 d,Kepler-184,,,1,610.326,291.95188,43.07462,,5788,0.873,,,0.179,29.02236,,2.49,,,Transit,2014
Kepler-257 d,Kepler-257,,,1,780.256,297.316,46.02326,,5180,1.037,,,0.16,24.66455,,4.95,,,Transit,2014
K2-280 b,K2-280,,,1,391.537,291.59536,-22.24771,,5500,1.28,1.03,,0.1461,19.89526,0.35,7.5,37.1,787,Transit,2018
K2-381 c,K2-381,,,1,145.701,288.02676,-21.00758,,4473,0.675,0.754,,,16.03466,,2,,,Transit,2022
Kepler-222 c,Kepler-222,,,1,758.854,287.90609,46.93775,,5433,0.869,,,0.091,10.08881,,4.64,,,Transit,2014
HATS-36 b,HATS-36,,,1,856.436,291.4787,-23.20282,,5950,1.1,1.1,,0.0523,4.17519,,12.92,,1203,Transit,2018
Kepler-229 b,Kepler-229,,,1,826.265,286.99948,48.37579,,5120,0.728,,,0.062,6.25297,,2.2,,,Transit,2014
K2-222 b,K2-222,,,1,101.321,16.46252,11.75372,G0,5942,1.072,0.94,0.1271,0.1186,15.38893,0.021,2.275,7.5,803,Transit,2018
K2-214 b,K2-214,,,1,300.64,14.87598,4.22777,,5875,1.236,1.03,,,8.59656,,2.51,,1001,Transit,2018
K2-220 b,K2-220,,,1,233.514,12.77001,9.51677,,5612,1.026,0.91,,,13.68186,,2.37,,761,Transit,2018
K2-216 b,K2-216,,,1,115.461,11.48024,6.34703,K5 V,4503,0.72,0.7,-0.7212,0.028,2.1748,0,1.75,8,1103,Transit,2018
K2-212 b,K2-212,,,1,109.218,18.4241,3.09707,,4349,0.678,0.622,,,9.79565,,2.65,,,Transit,2018
Kepler-166 c,Kepler-166,,,1,603.53,293.1601,48.88121,,5413,0.742,,,0.195,34.26028,,2.38,,,Transit,2014
K2-151 b,K2-151,,,2,69.48,19.30477,9.50127,,3695,0.45,0.47,,0.0373,3.83548,,1.49,,566,Transit,2018
K2-295 b,K2-295,,,1,232.801,19.61014,6.81673,K5 V,4444,0.7,0.74,,0.0451,4.02487,0,10.054,106.473,852,Transit,2018
K2-282 b,K2-282,,,1,496.289,13.43215,7.99529,,5499,1,,,,4.16978,,2.5,,,Transit,2018
K2-283 b,K2-283,,,1,402.915,13.19437,9.69292,,5060,0.82,0.89,,0.0291,1.92104,,3.52,,1186,Transit,2018
K2-281 b,K2-281,,,1,458.139,16.22747,7.26922,,4812,0.76,0.82,,0.0773,8.68772,,8.18,,665,Transit,2018
K2-387 b,K2-387,,,1,266.318,19.44183,11.36849,,3572,0.585,0.57,,,28.73533,,7.322,,,Transit,2022
Kepler-197 b,Kepler-197,,,2,330.575,295.22647,50.55923,,6004,1.12,,,0.06,5.59931,,1.02,,,Transit,2014
K2-156 b,K2-156,,,1,150.21,182.69967,-6.29436,,4460,0.62,,,,0.81314,,1.1,,,Transit,2018
K2-157 b,K2-157,,,1,298.373,183.7515,-5.78202,G9 V,5334,0.86,0.89,,0.00962,0.36526,,0.935,1.14,2432,Transit,2018
K2-158 b,K2-158,,,1,197.299,179.93971,-5.72169,,5503,0.95,0.92,,0.0887,10.06049,,2.64,,794,Transit,2018
K2-244 b,K2-244,,,1,212.902,183.46865,-3.83181,,5677,0.92,0.86,,0.1418,21.06884,,1.75,,638,Transit,2018
Kepler-108 c,Kepler-108,,,2,338.732,294.55899,46.0624,,5854,2.192,,,0.721,190.32349,,8.18,,,Transit,2014
K2-159 b,K2-159,,,1,170.998,180.54089,-3.58091,,5425,0.83,0.9,,0.1013,12.42205,,2.26,,684,Transit,2018
K2-160 b,K2-160,,,1,315.363,184.05452,-3.55309,,5649,0.914,0.983,,,3.70587,,3.178,,,Transit,2018
K2-161 b,K2-161,,,1,916.319,183.79385,-3.49569,,4972,2.568,0.987,,,9.28319,,6.117,,,Transit,2018
K2-162 b,K2-162,,,1,124.433,186.03839,-1.11148,,4842,0.69,0.75,,0.0795,9.45889,,1.44,,631,Transit,2018
K2-163 b,K2-163,,,1,208.529,182.32925,-0.53934,,4937,0.762,0.826,,,6.67312,,2.466,,,Transit,2018
K2-165 b,K2-165,,,1,134.591,184.90049,0.96833,,5185,0.804,0.835,,,2.35499,,1.274,,,Transit,2018
K2-165 c,K2-165,,,1,134.591,184.90049,0.96833,,5185,0.804,0.835,,,4.38274,,1.554,,,Transit,2018
K2-165 d,K2-165,,,1,134.591,184.90049,0.96833,,5185,0.804,0.835,,,14.10136,,2.648,,,Transit,2018
Kepler-477 b,Kepler-477,,,2,,288.06745,42.35531,,5240,0.79,0.87,,,11.11991,,2.07,,,Transit,2016
Kepler-108 b,Kepler-108,,,2,338.732,294.55899,46.0624,,5854,2.192,,,0.292,49.18392,,8.65,,,Transit,2014
EPIC 201595106 b,EPIC 201595106,,,1,232.1,183.72036,1.96817,,5679,0.98,0.958,-0.0491,0.0177,0.87724,0,1.565,7.67,2038,Transit,2021
