"id","hip","bf","proper","ra","dec","dist","mag","ci","con"
0,,"",Sol,0.0,0.0,0.0,-26.7,0.656,""
25,25,"","",0.0053,-44.290561,81.367,6.28,0.763,Phe
34,34,"","",0.006638,26.918108,74.6269,6.43,0.514,Peg
43,43,"","",0.008593,59.559679,136.2398,6.18,1.032,Cas
50,50,"","",0.009533,-53.097713,59.4177,6.49,0.616,Phe
63,63,"","",0.012119,45.253334,187.9699,6.36,-0.047,And
88,88,Tau Phe,"",0.017941,-48.809876,181.8182,5.71,0.911,Phe
106,106,"","",0.022013,49.981558,199.6008,6.22,0.97,Cas
107,107,"","",0.022255,-50.337373,166.3894,5.53,1.615,Phe
122,122,The Oct,"",0.026616,-77.065724,66.5779,4.78,1.254,Oct
124,124,"","",0.026949,61.222801,943.3962,5.58,0.407,Cas
128,128,"","",0.027597,73.611846,70.7714,6.5,0.182,Cep
137,137,"","",0.028847,42.367144,374.5318,6.25,-0.042,And
145,145,"29    Psc","",0.030402,-3.027504,139.2758,5.13,-0.128,Psc
154,154,"30    Psc","",0.032672,-6.014072,132.4503,4.37,1.631,Psc
171,171,"85    Peg","",0.036139,27.082256,12.1699,5.8,0.69,Peg
183,183,Zet Scl,"",0.038867,-29.720414,154.0832,5.04,-0.15,Scl
186,186,"31    Psc","",0.040046,8.956824,122.8501,6.33,0.182,Psc
194,194,"32    Psc","",0.041584,8.485463,36.9004,5.7,0.315,Psc
208,207,"","",0.043357,66.098966,100000.0,5.87,1.073,Cas
238,238,"","",0.049301,-20.045882,61.1621,6.25,0.526,Cet
253,253,"","",0.052181,-24.145145,203.666,6.46,1.176,Cet
274,274,"","",0.057143,63.64052,763.3588,6.24,0.332,Cas
300,301,"2    Cet","",0.06233,-17.335988,83.4725,4.55,-0.047,Cet
302,302,"","",0.064342,66.712183,265.9574,6.31,1.629,Cep
330,330,"9    Cas","",0.070462,62.287664,100000.0,5.9,0.274,Cas
343,343,"","",0.072165,-16.529036,90.6618,5.78,1.084,Cet
345,345,"","",0.07231,-29.268822,124.8439,6.38,0.006,Scl
355,355,"3    Cet","",0.075033,-10.509523,641.0256,4.99,1.619,Cet
366,365,"","",0.07683,42.09253,386.1004,6.11,0.159,And
377,377,"","",0.078131,-71.436891,175.4386,5.59,-0.1,Tuc
379,379,"","",0.078304,67.166445,92.6784,5.68,1.051,Cep
394,394,"","",0.081573,34.659797,39.185,6.09,0.632,And
399,399,"","",0.08222,26.648764,200.0,6.25,1.368,Peg
410,410,"","",0.083662,27.674784,168.0672,6.47,0.946,Peg
417,417,"","",0.084395,-0.503035,138.8889,6.32,1.099,Psc
418,418,"","",0.085039,61.31397,221.7295,5.8,-0.067,Cas
441,443,"33    Psc","",0.088928,-5.707618,39.4945,4.61,1.029,Psc
475,476,"86    Peg","",0.094989,13.396266,114.2857,5.55,0.901,Peg
517,518,"","",0.104356,58.436733,21.4777,5.98,0.687,Cas
521,522,"","",0.105277,-49.075191,25.7136,5.7,0.519,Phe
530,531,"10    Cas","",0.10737,64.196168,265.9574,5.57,-0.023,Cas
543,544,"","",0.110209,29.021502,13.6705,6.07,0.752,And
559,560,"","",0.113911,-23.10754,39.3856,6.19,0.386,Cet
601,602,"","",0.121741,-17.38699,176.0563,6.2,0.133,Cet
634,635,"","",0.12892,-2.548679,183.4862,6.43,-0.146,Psc
635,636,"","",0.129693,-22.50856,78.3699,5.93,0.141,Cet
654,655,"","",0.134303,-33.529326,94.9668,5.67,1.119,Scl
663,664,"","",0.136693,-2.447711,279.3296,6.18,1.366,Psc
670,671,"","",0.138204,-8.824112,98.4252,5.99,1.034,Cet
676,677,"21Alp And",Alpheratz,0.139791,29.090432,29.7442,2.07,-0.038,And
693,695,"","",0.142462,63.20404,369.0037,6.41,0.998,Cas
694,696,"","",0.142638,-17.578155,578.0347,6.11,1.664,Cet
697,699,"","",0.14471,36.627125,32.4465,6.21,0.504,And
714,716,"","",0.147814,25.462985,138.5042,6.24,0.976,Peg
726,728,"","",0.150045,28.247543,110.8647,6.47,0.242,Peg
727,729,"87    Peg","",0.150672,18.211963,87.4126,5.57,1.043,Peg
728,730,"","",0.15066,-54.001931,128.3697,6.32,0.738,Phe
744,746,"11Bet Cas",Caph,0.152887,59.14978,16.7842,2.28,0.38,Cas
758,760,"","",0.155525,79.714545,105.4852,6.01,0.203,Cep
759,761,Kap1Scl,"",0.155851,-27.987928,77.4593,5.42,0.414,Scl
